Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-03-27,43.3792,43.8456,41.6067,43.2859,909.007194208
2024-03-28,42.7262,42.7262,41.6067,42.353,1046.215827296
2024-04-02,41.9799,41.9799,40.1141,41.3268,3429.143884754
2024-04-03,42.353,43.1926,42.353,43.1926,2430.093525082
2024-04-04,43.1926,43.1926,41.5134,43.1926,1873.755395608
2024-04-05,44.0322,45.7114,44.0322,45.6181,7344.949639992
2024-04-08,45.7114,45.898,44.7785,45.4315,2925.330935134
2024-04-09,45.3383,45.3383,44.4054,44.8718,1881.25899273
2024-04-10,44.9651,45.3383,43.8456,44.3121,1861.964028702
2024-04-11,44.9651,44.9651,42.9128,43.9389,3383.050359576
2024-04-12,43.1926,44.9651,43.1926,44.3121,2928.546762472
2024-04-15,44.0322,44.7785,43.9389,44.6852,3424.85611497
2024-04-16,44.4054,44.7785,43.2859,43.2859,1789.071942374
2024-04-17,43.1926,43.8456,42.7262,43.8456,988.330935212
2024-04-18,44.0322,44.0322,43.006,43.8456,943.30935248
2024-04-19,44.6852,44.7785,43.8456,44.4054,10575.784172236
2024-04-22,44.4987,47.9503,44.4987,46.0846,24881.928056552
2024-04-23,45.4315,46.6443,44.6852,46.6443,4515.021582552
2024-04-24,46.6443,46.6443,45.9913,46.6443,6797.187050086
2024-04-25,46.2711,46.6443,46.1779,46.1779,1703.316546694
2024-04-26,46.2711,46.2711,46.0846,46.2711,2908.179855998
2024-04-29,46.2711,46.4577,46.1779,46.4577,1742.978417196
2024-04-30,46.4577,46.4577,45.245,46.0846,2134.237409986
2024-05-02,46.0846,46.4577,45.7114,46.4577,2125.661870418
2024-05-06,46.4577,47.5772,46.3644,47.3906,17864.992805036
2024-05-07,47.7638,47.9503,46.6443,47.9503,11548.035970758
2024-05-08,47.9503,49.0698,47.3906,48.5101,7577.561150774
2024-05-09,48.6966,50.1893,48.1369,50.1893,10994.913668622
2024-05-10,49.0698,50.1893,49.0698,50.0027,2073.136690564
2024-05-13,50.1893,50.9356,49.6295,50.9356,6140.086330688
2024-05-14,50.9356,51.4953,47.5772,51.4953,8336.496402542
2024-05-15,51.4953,51.4953,50.1893,51.3087,2900.676258876
2024-05-16,51.4953,52.4282,51.3087,52.4282,11789.223021108
2024-05-17,52.4282,55.9732,52.4282,55.6,18604.633092776
2024-05-20,55.9732,60.2644,55.4134,55.6,49190.366904494
2024-05-21,56,56,53.8,54,19854
2024-05-22,55.6,57,52,53,13410
2024-05-23,54,54.6,50.6,51,25859
2024-05-24,51.8,51.8,49.9,50.4,18016
2024-05-27,51.6,54.2,51.6,52.8,14131
2024-05-28,52.8,54,50.8,52,16416
2024-05-29,52,52,50,51,13310
2024-05-31,51.6,51.8,50.4,51.2,3076
2024-06-03,52.6,55.4,51.2,54.8,11490
2024-06-04,54.8,54.8,53.2,54,4824
